Machine,Process,Input,Output,Capacity
Palletizer of my father,Lost-wax manufacturing,High-density doodad,High-density thingamabob,7
LHC of my father,Industrial design moulding,Low-density whatchamacallit,Low-density propylene,3
LHC 2000 I found under the sofa cushions,Regular-old 3D-printering,Low-density propylene,Poly-doohickey,5
Packagertron I found in the backyard,Carbon-capture moulding,Poly-whatchamacallit,Low-density whatchamacallit,1
Packager collider,Low emission process,polished thingamajig,vanilla whatsit,2
LHC collider of my mother,Carbon-capture casting,Poly-doohickey,Low-density whatchamacallit,2
Wedge of my mother,Additive recycling,High-density thingamabob,Poly-doohickey,2
LHC 3000,Regular-old casting,chocolate frosted doohickey,polished thingamajig,4
Levertron of my father,Architectural manufacturing,High-density thingamabob,Poly-whatchamacallit,6
Palletizer collider I found in the backyard,Industrial process,High-density thingamabob,chocolate frosted doohickey,6
Palletizer v2.0 of my grandmother,Lost-wax 3D-printering,High-density doodad,vanilla whatsit,6
Pulley v2.0,Chocolate casting,Poly-doohickey,Poly-whatchamacallit,7
Hammer of my mother,Electronic process,polished thingamajig,High-density thingamabob,6
Crusher 2000 of my grandfather,Industrial design casting,High-density doodad,chocolate frosted doohickey,1
Synchrotron of my mother,CNC recycling,chocolate frosted doohickey,Poly-whatchamacallit,6
Synchrotron,Industrial design recycling,High-density doodad,Low-density propylene,7
LHC collider,Haber-Bosch recycling,Poly-whatchamacallit,Low-density propylene,5
Hammertron I found in the backyard,Regular-old moulding,chocolate frosted doohickey,Low-density whatchamacallit,1
Wedge collider I found in the backyard,Semi-glazed moulding,Poly-doohickey,chocolate frosted doohickey,7
Hammer v2.0,Selective laser moulding,Low-density propylene,chocolate frosted doohickey,5
